draw_date,draw_number,numbers,bonus_number
2010/10/5,582,"[3,14,22,24,30]",10
2010/10/12,583,"[1,3,10,11,16]",24
2010/10/19,584,"[6,9,11,14,22]",29
2010/10/26,585,"[14,19,23,24,31]",29
2010/11/2,586,"[1,5,6,10,15]",2
2010/11/9,587,"[11,17,19,29,30]",1
2010/11/16,588,"[4,11,18,26,31]",13
2010/11/23,589,"[3,10,13,22,26]",12
2010/11/30,590,"[4,7,11,17,19]",14
2010/12/7,591,"[4,8,9,13,19]",12
2010/12/14,592,"[5,6,23,25,26]",14
2010/12/21,593,"[11,14,22,28,29]",25
2010/12/28,594,"[2,5,10,22,30]",12
2011/1/4,595,"[7,11,15,20,23]",3
2011/1/11,596,"[6,9,10,14,27]",31
2011/1/18,597,"[2,13,16,17,19]",29
2011/1/25,598,"[4,15,21,26,30]",1
2011/2/1,599,"[3,7,10,11,29]",25
2011/2/8,600,"[1,2,3,4,22]",13
2011/2/15,601,"[10,14,15,16,24]",28
2011/2/22,602,"[3,14,18,22,25]",27
2011/3/1,603,"[4,5,26,28,30]",15
2011/3/8,604,"[2,11,13,22,25]",5
2011/3/15,605,"[5,6,13,19,28]",17
2011/3/22,606,"[9,20,23,30,31]",1
2011/3/29,607,"[7,8,12,18,30]",17
2011/4/5,608,"[13,19,21,25,29]",15
2011/4/12,609,"[3,14,21,26,30]",25
2011/4/19,610,"[3,8,14,17,30]",19
2011/4/26,611,"[12,18,21,25,30]",17
2011/5/3,612,"[11,18,24,27,30]",4
2011/5/10,613,"[2,16,17,20,28]",14
2011/5/17,614,"[7,16,23,25,30]",11
2011/5/24,615,"[4,12,13,19,20]",10
2011/5/31,616,"[7,18,21,27,28]",10
2011/6/7,617,"[3,9,16,19,28]",25
2011/6/14,618,"[10,12,14,22,31]",23
2011/6/21,619,"[4,7,14,20,30]",28
2011/6/28,620,"[2,14,21,25,31]",5
2011/7/5,621,"[6,12,18,24,30]",9
2011/7/12,622,"[13,14,20,25,27]",19
2011/7/19,623,"[4,9,14,15,26]",29
2011/7/26,624,"[5,7,11,12,24]",4
2011/8/2,625,"[19,20,23,26,31]",6
2011/8/9,626,"[11,12,14,17,26]",23
2011/8/16,627,"[6,10,14,15,20]",19
2011/8/23,628,"[1,2,10,17,20]",18
2011/8/30,629,"[1,3,16,26,29]",31
2011/9/6,630,"[3,4,16,19,31]",14
2011/9/13,631,"[3,15,18,20,25]",29
2011/9/20,632,"[6,14,15,25,26]",13
2011/9/27,633,"[2,12,19,20,30]",13
2011/10/4,634,"[6,14,24,27,31]",22
2011/10/11,635,"[12,13,16,20,29]",11
2011/10/18,636,"[8,13,21,26,30]",3
2011/10/25,637,"[1,5,10,15,21]",11
2011/11/1,638,"[1,16,18,27,30]",15
2011/11/8,639,"[6,14,20,29,31]",22
2011/11/15,640,"[6,15,18,28,31]",8
2011/11/22,641,"[5,11,14,17,22]",15
2011/11/29,642,"[9,22,26,27,31]",28
2011/12/6,643,"[9,11,17,19,22]",6
2011/12/13,644,"[5,13,15,20,27]",30
2011/12/20,645,"[8,13,18,19,24]",11
2011/12/27,646,"[3,6,16,30,31]",17
2012/1/10,647,"[3,6,7,10,21]",18
2012/1/17,648,"[6,13,18,19,21]",26
2012/1/24,649,"[3,11,18,19,21]",12
2012/1/31,650,"[4,11,18,24,26]",13
2012/2/7,651,"[8,11,15,20,31]",18
2012/2/14,652,"[2,5,19,28,29]",23
2012/2/21,653,"[11,16,20,22,30]",21
2012/2/28,654,"[6,11,22,25,27]",2
2012/3/6,655,"[7,9,12,14,18]",24
2012/3/13,656,"[4,10,15,22,23]",7
2012/3/20,657,"[9,14,18,23,30]",10
2012/3/27,658,"[7,8,11,15,26]",1
2012/4/3,659,"[5,9,22,30,31]",3
2012/4/10,660,"[7,12,15,30,31]",18
2012/4/17,661,"[2,6,9,19,20]",27
2012/4/24,662,"[7,9,15,28,31]",26
2012/5/1,663,"[1,9,10,21,31]",23
2012/5/8,664,"[6,9,11,16,29]",4
2012/5/15,665,"[7,12,17,20,28]",9
2012/5/22,666,"[10,11,17,24,29]",26
2012/5/29,667,"[8,9,19,26,31]",28
2012/6/5,668,"[7,9,16,27,29]",30
2012/6/12,669,"[4,7,8,25,31]",14
2012/6/19,670,"[4,6,26,27,29]",30
2012/6/26,671,"[7,14,19,22,27]",28
2012/7/3,672,"[3,8,20,22,28]",5
2012/7/10,673,"[6,12,21,24,25]",22
2012/7/17,674,"[1,2,3,24,25]",15
2012/7/24,675,"[6,21,27,28,31]",20
2012/7/31,676,"[4,6,18,22,28]",1
2012/8/7,677,"[10,16,23,24,30]",18
2012/8/14,678,"[15,17,21,24,25]",20
2012/8/21,679,"[5,11,23,29,31]",28
2012/8/28,680,"[2,3,11,15,24]",23
2012/9/4,681,"[6,12,17,19,30]",9
2012/9/11,682,"[4,8,20,25,27]",30
2012/9/18,683,"[1,7,15,23,26]",11
2012/9/25,684,"[10,12,13,19,25]",7
2012/10/2,685,"[8,11,19,21,30]",1
2012/10/9,686,"[3,5,7,10,18]",6
2012/10/16,687,"[2,9,17,24,29]",22
2012/10/23,688,"[4,5,9,15,26]",11
2012/10/30,689,"[12,13,19,23,25]",28
2012/11/6,690,"[11,16,22,23,25]",9
2012/11/13,691,"[3,9,10,20,25]",31
2012/11/20,692,"[9,13,14,23,31]",20
2012/11/27,693,"[5,17,21,24,25]",3
2012/12/4,694,"[5,12,15,16,20]",6
2012/12/11,695,"[4,19,20,27,28]",14
2012/12/18,696,"[5,9,15,19,30]",6
2012/12/25,697,"[5,7,17,25,27]",18
2013/1/8,698,"[2,3,5,14,24]",9
2013/1/15,699,"[6,12,21,24,28]",15
2013/1/22,700,"[6,8,9,21,26]",4
2013/1/29,701,"[4,8,13,15,26]",3
2013/2/5,702,"[10,12,13,20,23]",4
2013/2/12,703,"[3,10,16,28,31]",15
2013/2/19,704,"[2,11,21,24,25]",23
2013/2/26,705,"[8,16,18,21,22]",27
2013/3/5,706,"[4,6,15,16,29]",27
2013/3/12,707,"[2,11,23,27,29]",3
2013/3/19,708,"[10,11,20,28,29]",1
2013/3/26,709,"[2,5,16,17,18]",30
2013/4/2,710,"[2,15,18,25,26]",20
2013/4/9,711,"[3,5,10,17,25]",22
2013/4/16,712,"[3,7,18,27,31]",1
2013/4/23,713,"[4,13,22,28,31]",16
2013/4/30,714,"[6,10,20,22,31]",1
2013/5/7,715,"[2,3,5,9,22]",18
2013/5/14,716,"[13,18,19,20,24]",17
2013/5/21,717,"[3,5,14,23,26]",1
2013/5/28,718,"[2,11,16,19,24]",23
2013/6/4,719,"[2,9,18,22,27]",16
2013/6/11,720,"[5,11,17,19,20]",15
2013/6/18,721,"[3,5,12,15,22]",2
2013/6/25,722,"[4,6,17,21,30]",9
2013/7/2,723,"[4,7,9,25,31]",18
2013/7/9,724,"[7,14,17,22,29]",1
2013/7/16,725,"[6,11,26,28,30]",19
2013/7/23,726,"[1,2,16,18,25]",7
2013/7/30,727,"[4,7,14,16,24]",27
2013/8/6,728,"[1,9,11,13,28]",16
2013/8/13,729,"[13,16,17,20,29]",11
2013/8/20,730,"[3,5,7,14,22]",4
2013/8/27,731,"[7,9,18,28,30]",11
2013/9/3,732,"[4,6,16,29,31]",9
2013/9/10,733,"[5,9,11,18,20]",31
2013/9/17,734,"[6,8,10,12,13]",31
2013/9/24,735,"[3,14,16,23,30]",7
2013/10/1,736,"[2,14,17,20,27]",9
2013/10/8,737,"[5,12,18,19,23]",16
2013/10/15,738,"[7,11,14,23,29]",19
2013/10/22,739,"[1,4,19,24,31]",18
2013/10/29,740,"[2,4,19,25,28]",11
2013/11/5,741,"[6,11,12,15,25]",10
2013/11/12,742,"[3,5,16,26,31]",1
2013/11/19,743,"[4,15,18,20,30]",5
2013/11/26,744,"[2,4,5,14,24]",19
2013/12/3,745,"[3,10,13,14,22]",15
2013/12/10,746,"[2,10,15,18,20]",13
2013/12/17,747,"[1,12,23,29,30]",9
2013/12/24,748,"[2,6,7,11,15]",4
2014/1/7,749,"[1,11,14,16,30]",25
2014/1/14,750,"[2,5,9,13,19]",24
2014/1/21,751,"[7,15,18,19,30]",8
2014/1/28,752,"[11,23,26,27,31]",24
2014/2/4,753,"[2,10,20,23,24]",26
2014/2/11,754,"[11,12,24,25,30]",31
2014/2/18,755,"[20,21,22,25,27]",14
2014/2/25,756,"[5,8,9,27,30]",11
2014/3/4,757,"[12,15,21,25,27]",22
2014/3/11,758,"[8,14,19,22,24]",26
2014/3/18,759,"[8,18,23,24,30]",4
2014/3/25,760,"[1,7,14,25,30]",8
2014/4/1,761,"[7,14,16,21,31]",17
2014/4/8,762,"[2,3,8,10,29]",31
2014/4/15,763,"[3,5,12,14,18]",8
2014/4/22,764,"[1,2,7,10,11]",16
2014/4/29,765,"[16,19,20,22,31]",26
2014/5/6,766,"[5,8,12,16,28]",13
2014/5/13,767,"[6,8,10,25,31]",27
2014/5/20,768,"[2,3,23,24,27]",10
2014/5/27,769,"[3,11,15,22,24]",29
2014/6/3,770,"[12,18,19,22,30]",20
2014/6/10,771,"[7,11,22,26,30]",27
2014/6/17,772,"[11,14,15,21,27]",24
2014/6/24,773,"[1,2,6,11,26]",17
2014/7/1,774,"[5,6,9,20,30]",31
2014/7/8,775,"[5,6,14,24,31]",15
2014/7/15,776,"[6,14,15,18,31]",25
2014/7/22,777,"[4,10,20,22,24]",21
2014/7/29,778,"[10,13,14,26,30]",18
2014/8/5,779,"[1,8,9,10,13]",18
2014/8/12,780,"[13,15,16,18,20]",7
2014/8/19,781,"[2,7,10,21,24]",4
2014/8/26,782,"[4,7,9,14,21]",26
2014/9/2,783,"[4,5,10,15,20]",8
2014/9/9,784,"[14,19,21,25,29]",8
2014/9/16,785,"[7,21,22,26,28]",5
2014/9/23,786,"[5,6,21,28,29]",7
2014/9/30,787,"[11,15,22,26,31]",7
2014/10/7,788,"[1,21,28,29,30]",15
2014/10/14,789,"[4,5,11,16,31]",19
2014/10/21,790,"[11,13,15,19,21]",7
2014/10/28,791,"[6,16,18,30,31]",10
2014/11/4,792,"[12,13,15,18,22]",28
2014/11/11,793,"[6,10,18,20,31]",24
2014/11/18,794,"[3,4,8,10,31]",7
2014/11/25,795,"[2,6,11,14,18]",1
2014/12/2,796,"[3,10,19,21,30]",7
2014/12/9,797,"[8,9,29,30,31]",18
2014/12/16,798,"[3,8,10,23,27]",12
2014/12/23,799,"[1,2,17,19,26]",24
2014/12/30,800,"[1,19,20,22,25]",2
2015/1/6,801,"[5,7,20,22,25]",17
2015/1/13,802,"[5,9,21,29,31]",6
2015/1/20,803,"[2,4,18,19,27]",23
2015/1/27,804,"[7,8,9,12,29]",26
2015/2/3,805,"[8,9,11,17,30]",3
2015/2/10,806,"[3,11,21,23,28]",24
2015/2/17,807,"[5,7,13,17,19]",3
2015/2/24,808,"[8,9,26,27,30]",3
2015/3/3,809,"[2,8,11,13,25]",1
2015/3/10,810,"[6,12,15,16,31]",17
2015/3/17,811,"[8,9,10,13,21]",18
2015/3/24,812,"[2,16,17,22,25]",13
2015/3/31,813,"[3,6,9,14,15]",17
2015/4/7,814,"[2,3,12,25,31]",28
2015/4/14,815,"[20,21,26,27,28]",3
2015/4/21,816,"[1,5,7,14,18]",12
2015/4/28,817,"[1,10,23,27,29]",18
2015/5/5,818,"[5,9,14,16,18]",3
2015/5/12,819,"[2,9,14,15,24]",13
2015/5/19,820,"[8,12,20,21,31]",19
2015/5/26,821,"[6,8,18,21,23]",30
2015/6/2,822,"[7,8,10,17,28]",4
2015/6/9,823,"[6,10,14,18,23]",9
2015/6/16,824,"[4,16,22,28,29]",10
2015/6/23,825,"[3,8,12,21,26]",19
2015/6/30,826,"[1,8,21,23,27]",22
2015/7/7,827,"[3,4,6,23,31]",10
2015/7/14,828,"[2,8,11,15,26]",3
2015/7/21,829,"[8,12,19,23,31]",6
2015/7/28,830,"[5,6,20,23,29]",15
2015/8/4,831,"[7,9,17,19,21]",3
2015/8/11,832,"[9,10,15,19,31]",24
2015/8/18,833,"[6,9,15,24,28]",12
2015/8/25,834,"[5,13,21,25,26]",2
2015/9/1,835,"[1,9,11,23,29]",17
2015/9/8,836,"[5,15,20,28,29]",10
2015/9/15,837,"[4,5,9,24,25]",31
2015/9/22,838,"[4,6,11,12,15]",22
2015/9/29,839,"[2,6,14,27,30]",12
2015/10/6,840,"[1,5,11,15,31]",8
2015/10/13,841,"[5,6,7,13,18]",8
2015/10/20,842,"[9,18,20,24,25]",4
2015/10/27,843,"[2,14,23,28,30]",26
2015/11/3,844,"[3,11,14,22,26]",1
2015/11/10,845,"[3,10,22,24,30]",28
2015/11/17,846,"[1,17,27,30,31]",8
2015/11/24,847,"[7,18,19,21,31]",15
2015/12/1,848,"[2,3,22,29,31]",1
2015/12/8,849,"[4,14,17,19,20]",26
2015/12/15,850,"[1,2,13,15,18]",28
2015/12/22,851,"[10,19,20,24,31]",23
2015/12/29,852,"[2,9,15,18,22]",12
2016/1/5,853,"[6,11,17,18,30]",28
2016/1/12,854,"[3,16,22,23,31]",10
2016/1/19,855,"[2,7,17,22,24]",25
2016/1/26,856,"[1,10,15,24,29]",9
2016/2/2,857,"[2,4,21,24,28]",29
2016/2/9,858,"[6,14,15,25,26]",22
2016/2/16,859,"[13,17,19,28,31]",25
2016/2/23,860,"[8,9,21,30,31]",7
2016/3/1,861,"[4,8,12,17,27]",3
2016/3/8,862,"[3,7,9,13,23]",6
2016/3/15,863,"[1,2,11,27,28]",21
2016/3/22,864,"[14,18,26,28,30]",8
2016/3/29,865,"[3,8,16,17,31]",9
2016/4/5,866,"[4,16,18,26,28]",9
2016/4/12,867,"[13,23,24,28,30]",31
2016/4/19,868,"[1,9,14,25,30]",31
2016/4/26,869,"[2,14,16,19,30]",5
2016/5/3,870,"[3,12,22,23,31]",24
2016/5/10,871,"[4,17,24,27,31]",19
2016/5/17,872,"[15,16,24,28,30]",26
2016/5/24,873,"[4,6,10,23,29]",3
2016/5/31,874,"[6,7,8,22,24]",18
2016/6/7,875,"[2,3,8,11,28]",10
2016/6/14,876,"[18,19,20,21,27]",15
2016/6/21,877,"[5,14,20,22,23]",16
2016/6/28,878,"[2,3,8,28,29]",26
2016/7/5,879,"[2,13,24,27,31]",12
2016/7/12,880,"[5,7,11,12,21]",18
2016/7/19,881,"[10,11,17,29,30]",15
2016/7/26,882,"[2,7,8,18,30]",21
2016/8/2,883,"[1,17,18,21,25]",23
2016/8/9,884,"[7,10,22,27,31]",2
2016/8/16,885,"[9,17,21,24,27]",11
2016/8/23,886,"[1,11,20,23,29]",13
2016/8/30,887,"[3,4,19,28,29]",23
2016/9/6,888,"[6,17,24,29,31]",3
2016/9/13,889,"[5,6,12,17,22]",23
2016/9/20,890,"[1,7,12,24,31]",6
2016/9/27,891,"[10,17,29,30,31]",25
2016/10/4,892,"[2,3,12,19,21]",5
2016/10/11,893,"[11,14,20,22,25]",5
2016/10/18,894,"[11,16,21,23,30]",25
2016/10/25,895,"[7,8,9,11,14]",22
2016/11/1,896,"[11,13,16,17,26]",30
2016/11/8,897,"[16,17,18,23,31]",29
2016/11/15,898,"[5,7,20,24,25]",17
2016/11/22,899,"[1,7,19,20,31]",29
2016/11/29,900,"[1,15,18,22,25]",29
2016/12/6,901,"[2,10,13,23,24]",27
2016/12/13,902,"[6,8,16,22,28]",27
2016/12/20,903,"[2,5,21,24,29]",4
2016/12/27,904,"[3,5,8,17,21]",14
2017/1/10,905,"[4,17,18,22,27]",10
2017/1/17,906,"[2,4,6,7,23]",26
2017/1/24,907,"[3,4,10,22,31]",6
2017/1/31,908,"[18,19,21,23,31]",17
2017/2/7,909,"[3,12,14,20,27]",22
2017/2/14,910,"[10,14,20,26,30]",3
2017/2/21,911,"[2,3,4,13,16]",17
2017/2/28,912,"[9,12,19,21,22]",18
2017/3/7,913,"[2,9,17,21,23]",28
2017/3/14,914,"[2,7,15,19,24]",22
2017/3/21,915,"[14,22,24,26,27]",7
2017/3/28,916,"[17,18,23,28,30]",5
2017/4/4,917,"[1,9,10,24,27]",13
2017/4/11,918,"[16,20,22,27,29]",30
2017/4/18,919,"[4,7,9,15,23]",11
2017/4/25,920,"[5,15,22,24,25]",30
2017/5/2,921,"[6,8,10,14,30]",13
2017/5/9,922,"[2,13,14,21,22]",7
2017/5/16,923,"[8,20,21,22,27]",19
2017/5/23,924,"[2,7,8,14,23]",15
2017/5/30,925,"[9,14,19,27,30]",16
2017/6/6,926,"[3,9,18,27,29]",26
2017/6/13,927,"[1,6,7,17,18]",16
2017/6/20,928,"[4,9,11,19,23]",22
2017/6/27,929,"[2,4,5,11,20]",22
2017/7/4,930,"[9,14,24,25,27]",16
2017/7/11,931,"[2,3,18,24,25]",9
2017/7/18,932,"[1,3,14,17,19]",23
2017/7/25,933,"[3,4,22,26,29]",5
2017/8/1,934,"[3,7,8,11,13]",4
2017/8/8,935,"[3,11,13,20,31]",16
2017/8/15,936,"[7,21,23,25,31]",10
2017/8/22,937,"[5,12,13,15,24]",25
2017/8/29,938,"[4,9,16,21,22]",1
2017/9/5,939,"[8,12,20,23,28]",16
2017/9/12,940,"[4,9,25,27,28]",12
2017/9/19,941,"[3,11,12,15,28]",17
2017/9/26,942,"[2,7,10,22,29]",17
2017/10/3,943,"[4,11,18,28,30]",10
2017/10/10,944,"[5,11,13,16,27]",23
2017/10/17,945,"[14,17,21,25,31]",15
2017/10/24,946,"[5,14,24,28,29]",20
2017/10/31,947,"[3,7,19,24,27]",16
2017/11/7,948,"[3,6,12,13,22]",4
2017/11/14,949,"[1,2,5,6,21]",25
2017/11/21,950,"[5,8,12,14,28]",1
2017/11/28,951,"[3,9,12,26,27]",25
2017/12/5,952,"[4,10,15,16,18]",8
2017/12/12,953,"[4,5,9,22,29]",2
2017/12/19,954,"[11,16,21,23,25]",18
2017/12/26,955,"[9,12,17,21,30]",28
2018/1/9,956,"[6,15,18,22,29]",31
2018/1/16,957,"[2,15,26,29,31]",3
2018/1/23,958,"[3,10,15,17,19]",20
2018/1/30,959,"[2,3,9,14,19]",15
2018/2/6,960,"[2,3,5,16,20]",9
2018/2/13,961,"[2,11,18,20,29]",3
2018/2/20,962,"[3,10,15,18,25]",27
2018/2/27,963,"[4,7,17,21,28]",10
2018/3/6,964,"[16,19,27,28,30]",12
2018/3/13,965,"[7,13,15,19,28]",23
2018/3/20,966,"[1,11,25,26,27]",30
2018/3/27,967,"[4,7,11,14,31]",2
2018/4/3,968,"[1,5,10,20,24]",3
2018/4/10,969,"[1,4,18,24,27]",6
2018/4/17,970,"[2,4,19,27,28]",7
2018/4/24,971,"[7,17,18,20,24]",13
2018/5/1,972,"[13,19,21,22,27]",14
2018/5/8,973,"[1,7,12,13,31]",30
2018/5/15,974,"[10,18,21,24,27]",30
2018/5/22,975,"[10,18,19,28,29]",16
2018/5/29,976,"[2,4,15,16,19]",8
2018/6/5,977,"[9,17,21,22,23]",5
2018/6/12,978,"[1,8,20,26,28]",7
2018/6/19,979,"[1,10,23,25,28]",12
2018/6/26,980,"[8,24,27,30,31]",16
2018/7/3,981,"[10,11,19,28,30]",22
2018/7/10,982,"[5,8,20,22,27]",24
2018/7/17,983,"[6,10,12,15,23]",25
2018/7/24,984,"[2,4,5,16,27]",14
2018/7/31,985,"[5,11,16,17,26]",3
2018/8/7,986,"[1,21,22,25,27]",28
2018/8/14,987,"[6,13,15,17,21]",22
2018/8/21,988,"[1,9,11,14,21]",28
2018/8/28,989,"[2,7,10,16,30]",24
2018/9/4,990,"[3,9,17,23,25]",13
2018/9/11,991,"[1,3,9,15,30]",6
2018/9/18,992,"[1,14,17,20,31]",24
2018/9/25,993,"[1,4,24,29,30]",10
2018/10/2,994,"[7,8,19,27,31]",26
2018/10/9,995,"[1,5,14,21,30]",12
2018/10/16,996,"[9,19,20,22,26]",7
2018/10/23,997,"[1,3,8,11,14]",16
2018/10/30,998,"[1,7,19,20,25]",27
2018/11/6,999,"[6,17,18,20,29]",26
2018/11/13,1000,"[3,8,14,18,26]",7
2018/11/20,1001,"[5,12,16,22,27]",18
2018/11/27,1002,"[2,9,11,20,27]",5
2018/12/4,1003,"[11,14,15,22,29]",10
2018/12/11,1004,"[1,18,22,27,30]",20
2018/12/18,1005,"[5,13,18,26,31]",11
2018/12/25,1006,"[10,15,19,23,26]",6
2019/1/8,1007,"[2,10,11,25,31]",17
2019/1/15,1008,"[3,4,22,26,27]",11
2019/1/22,1009,"[2,8,17,23,27]",4
2019/1/29,1010,"[10,17,20,21,30]",15
2019/2/5,1011,"[9,16,21,30,31]",27
2019/2/12,1012,"[1,13,18,26,29]",8
2019/2/19,1013,"[1,6,11,19,28]",8
2019/2/26,1014,"[4,17,19,20,25]",5
2019/3/5,1015,"[3,5,6,20,25]",27
2019/3/12,1016,"[5,21,23,25,27]",22
2019/3/19,1017,"[9,16,21,23,24]",8
2019/3/26,1018,"[13,16,23,27,29]",15
2019/4/2,1019,"[5,6,16,23,24]",3
2019/4/9,1020,"[3,12,17,24,30]",31
2019/4/16,1021,"[13,19,23,25,29]",8
2019/4/23,1022,"[5,13,24,27,29]",22
2019/4/30,1023,"[2,12,22,23,26]",25
2019/5/7,1024,"[4,11,12,23,28]",3
2019/5/14,1025,"[3,4,13,19,23]",18
2019/5/21,1026,"[3,14,15,22,26]",1
2019/5/28,1027,"[5,6,17,21,27]",19
2019/6/4,1028,"[2,3,8,16,27]",17
2019/6/11,1029,"[3,4,9,11,29]",5
2019/6/18,1030,"[21,24,26,27,28]",22
2019/6/25,1031,"[5,8,17,21,23]",15
2019/7/2,1032,"[1,9,14,21,26]",29
2019/7/9,1033,"[2,12,14,24,31]",22
2019/7/16,1034,"[12,22,27,28,29]",10
2019/7/23,1035,"[3,8,11,16,31]",26
2019/7/30,1036,"[7,14,16,23,28]",9
2019/8/6,1037,"[7,19,23,24,27]",17
2019/8/13,1038,"[2,5,21,23,30]",8
2019/8/20,1039,"[4,19,22,24,30]",12
2019/8/27,1040,"[7,10,13,25,27]",30
2019/9/3,1041,"[3,9,14,15,27]",31
2019/9/10,1042,"[11,12,19,23,28]",7
2019/9/17,1043,"[7,9,23,24,25]",30
2019/9/24,1044,"[12,19,27,28,30]",1
2019/10/1,1045,"[3,5,7,10,18]",16
2019/10/8,1046,"[16,23,24,28,29]",12
2019/10/15,1047,"[8,12,19,25,26]",9
2019/10/22,1048,"[1,8,11,19,23]",12
2019/10/29,1049,"[2,16,21,26,31]",27
2019/11/5,1050,"[2,15,19,23,28]",10
2019/11/12,1051,"[7,11,12,21,22]",5
2019/11/19,1052,"[4,8,9,14,26]",5
2019/11/26,1053,"[2,3,13,16,23]",14
2019/12/3,1054,"[2,19,25,26,31]",22
2019/12/10,1055,"[1,5,18,19,21]",9
2019/12/17,1056,"[3,12,14,21,25]",10
2019/12/24,1057,"[9,13,21,23,26]",1
2020/1/7,1058,"[2,16,19,24,27]",20
2020/1/14,1059,"[2,11,13,16,18]",3
2020/1/21,1060,"[19,23,24,28,31]",11
2020/1/28,1061,"[5,10,19,23,28]",9
2020/2/4,1062,"[14,18,23,29,31]",17
2020/2/11,1063,"[10,18,20,26,27]",25
2020/2/18,1064,"[1,5,8,28,29]",7
2020/2/25,1065,"[8,11,14,16,31]",10
2020/3/3,1066,"[15,17,20,22,23]",21
2020/3/10,1067,"[2,10,13,15,28]",26
2020/3/17,1068,"[2,3,20,24,31]",9
2020/3/24,1069,"[1,3,9,14,25]",20
2020/3/31,1070,"[7,9,11,27,31]",21
2020/4/7,1071,"[2,3,4,27,31]",7
2020/4/14,1072,"[3,4,10,12,13]",31
2020/4/21,1073,"[2,13,21,24,30]",14
2020/4/28,1074,"[15,18,20,22,27]",21
2020/5/5,1075,"[4,11,13,16,31]",6
2020/5/12,1076,"[5,7,11,22,26]",15
2020/5/19,1077,"[3,17,19,25,31]",4
2020/5/26,1078,"[3,10,16,17,25]",24
2020/6/2,1079,"[2,6,14,16,26]",4
2020/6/9,1080,"[4,5,13,19,21]",14
2020/6/16,1081,"[2,3,4,24,25]",8
2020/6/23,1082,"[1,2,14,19,29]",5
2020/6/30,1083,"[1,3,19,26,29]",5
2020/7/7,1084,"[11,19,28,29,31]",2
2020/7/14,1085,"[9,10,16,17,28]",13
2020/7/21,1086,"[2,18,19,28,30]",16
2020/7/28,1087,"[1,3,4,9,16]",28
2020/8/4,1088,"[2,8,14,17,26]",4
2020/8/11,1089,"[3,13,18,19,22]",29
2020/8/18,1090,"[4,12,15,22,25]",10
2020/8/25,1091,"[1,14,25,29,31]",30
2020/9/1,1092,"[9,13,14,19,22]",25
2020/9/8,1093,"[2,12,17,23,30]",8
2020/9/15,1094,"[3,5,8,14,22]",21
2020/9/22,1095,"[4,10,16,21,24]",6
2020/9/29,1096,"[1,2,12,20,22]",8
2020/10/6,1097,"[5,12,18,19,24]",16
2020/10/13,1098,"[3,13,17,28,31]",19
2020/10/20,1099,"[1,3,5,14,23]",15
2020/10/27,1100,"[13,18,19,25,27]",16
2020/11/3,1101,"[1,8,10,12,29]",13
2020/11/10,1102,"[8,13,20,26,29]",6
2020/11/17,1103,"[1,6,7,21,31]",18
2020/11/24,1104,"[7,16,20,23,28]",6
2020/12/1,1105,"[4,11,16,21,26]",9
2020/12/8,1106,"[2,18,21,25,30]",19
2020/12/15,1107,"[7,10,16,18,29]",5
2020/12/22,1108,"[6,10,14,17,19]",27
2020/12/29,1109,"[7,15,17,26,27]",8
2021/1/5,1110,"[2,7,19,23,28]",3
2021/1/12,1111,"[2,3,4,13,31]",29
2021/1/19,1112,"[5,6,8,13,25]",29
2021/1/26,1113,"[19,20,21,26,27]",12
2021/2/2,1114,"[7,18,21,25,26]",12
2021/2/9,1115,"[2,4,6,11,29]",20
2021/2/16,1116,"[7,24,25,27,29]",10
2021/2/23,1117,"[4,13,22,27,30]",19
2021/3/2,1118,"[8,13,16,27,29]",11
2021/3/9,1119,"[9,10,12,17,18]",14
2021/3/16,1120,"[2,10,11,17,31]",26
2021/3/23,1121,"[13,19,21,24,25]",16
2021/3/30,1122,"[8,9,14,25,28]",11
2021/4/6,1123,"[7,17,26,28,29]",24
2021/4/13,1124,"[3,4,6,8,27]",12
2021/4/20,1125,"[2,6,10,14,21]",18
2021/4/27,1126,"[6,8,20,30,31]",25
2021/5/4,1127,"[8,22,24,27,28]",16
2021/5/11,1128,"[4,7,13,24,30]",2
2021/5/18,1129,"[5,9,16,29,30]",12
2021/5/25,1130,"[5,6,8,25,26]",11
2021/6/1,1131,"[6,8,11,24,29]",23
2021/6/8,1132,"[3,4,14,15,18]",5
2021/6/15,1133,"[14,17,23,28,30]",7
2021/6/22,1134,"[6,13,20,23,28]",21
2021/6/29,1135,"[7,19,21,23,28]",24
2021/7/6,1136,"[11,15,20,22,23]",4
2021/7/13,1137,"[7,8,21,25,31]",14
2021/7/20,1138,"[14,20,23,28,29]",27
2021/7/27,1139,"[12,16,17,24,31]",22
2021/8/3,1140,"[7,11,17,19,28]",25
2021/8/10,1141,"[9,12,17,18,27]",22
2021/8/17,1142,"[11,23,25,29,30]",18
2021/8/24,1143,"[3,4,16,19,27]",23
2021/8/31,1144,"[4,11,14,21,30]",27
2021/9/7,1145,"[11,14,20,28,31]",12
2021/9/14,1146,"[4,5,11,29,30]",24
2021/9/21,1147,"[6,8,23,27,29]",21
2021/9/28,1148,"[1,3,6,15,19]",10
2021/10/5,1149,"[5,12,14,15,20]",7
2021/10/12,1150,"[1,10,13,27,29]",14
2021/10/19,1151,"[14,18,21,30,31]",9
2021/10/26,1152,"[2,12,14,23,27]",21
2021/11/2,1153,"[17,25,27,29,30]",15
2021/11/9,1154,"[9,10,12,21,24]",27
2021/11/16,1155,"[1,9,13,16,19]",18
2021/11/23,1156,"[1,3,14,27,30]",7
